GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US01133,01133,United States - Alabama - Winston County,Winston County,33194,2169
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,72515,838
0100000US,,United States,0500000US02013,02013,United States - Alaska - Aleutians East Borough,Aleutians East Borough,61518,2684
0100000US,,United States,0500000US02016,02016,United States - Alaska - Aleutians West Census Area,Aleutians West Census Area,84306,4743
0100000US,,United States,0500000US02020,02020,United States - Alaska - Anchorage Municipality,Anchorage Municipality,78326,1872
0100000US,,United States,0500000US02050,02050,United States - Alaska - Bethel Census Area,Bethel Census Area,51012,2526
0100000US,,United States,0500000US02060,02060,United States - Alaska - Bristol Bay Borough,Bristol Bay Borough,79750,8886
0100000US,,United States,0500000US02068,02068,United States - Alaska - Denali Borough,Denali Borough,81544,6321
0100000US,,United States,0500000US02070,02070,United States - Alaska - Dillingham Census Area,Dillingham Census Area,54173,1651
0100000US,,United States,0500000US02090,02090,United States - Alaska - Fairbanks North Star Borough,Fairbanks North Star Borough,71068,1964
0100000US,,United States,0500000US02100,02100,United States - Alaska - Haines Borough,Haines Borough,58750,18270
0100000US,,United States,0500000US02105,02105,United States - Alaska - Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,52419,7157
0100000US,,United States,0500000US02110,02110,United States - Alaska - Juneau City and Borough,Juneau City and Borough,85746,2129
0100000US,,United States,0500000US02122,02122,United States - Alaska - Kenai Peninsula Borough,Kenai Peninsula Borough,63684,2337
0100000US,,United States,0500000US02130,02130,United States - Alaska - Ketchikan Gateway Borough,Ketchikan Gateway Borough,64222,3557
0100000US,,United States,0500000US02150,02150,United States - Alaska - Kodiak Island Borough,Kodiak Island Borough,70887,5665
0100000US,,United States,0500000US02158,02158,United States - Alaska - Kusilvak Census Area,Kusilvak Census Area,38229,1809
0100000US,,United States,0500000US02164,02164,United States - Alaska - Lake and Peninsula Borough,Lake and Peninsula Borough,50781,9403
0100000US,,United States,0500000US02170,02170,United States - Alaska - Matanuska-Susitna Borough,Matanuska-Susitna Borough,72983,1577
0100000US,,United States,0500000US02180,02180,United States - Alaska - Nome Census Area,Nome Census Area,48868,1988
0100000US,,United States,0500000US02185,02185,United States - Alaska - North Slope Borough,North Slope Borough,72576,8046
0100000US,,United States,0500000US02188,02188,United States - Alaska - Northwest Arctic Borough,Northwest Arctic Borough,63648,2525
0100000US,,United States,0500000US02195,02195,United States - Alaska - Petersburg Borough,Petersburg Borough,67935,7678
0100000US,,United States,0500000US02198,02198,United States - Alaska - Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,48523,2745
