GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Median,Margin of Error
0100000US,,United States,0500000US04019,04019,United States - Arizona - Pima County,Pima County,44386,666
0100000US,,United States,0500000US04021,04021,United States - Arizona - Pinal County,Pinal County,45034,1072
0100000US,,United States,0500000US04023,04023,United States - Arizona - Santa Cruz County,Santa Cruz County,37683,2975
0100000US,,United States,0500000US04025,04025,United States - Arizona - Yavapai County,Yavapai County,43170,1551
0100000US,,United States,0500000US04027,04027,United States - Arizona - Yuma County,Yuma County,38502,1266
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,37555,318
0100000US,,United States,0500000US05003,05003,United States - Arkansas - Ashley County,Ashley County,31708,2433
0100000US,,United States,0500000US05005,05005,United States - Arkansas - Baxter County,Baxter County,34321,1883
0100000US,,United States,0500000US05007,05007,United States - Arkansas - Benton County,Benton County,48986,1672
0100000US,,United States,0500000US05009,05009,United States - Arkansas - Boone County,Boone County,36849,2732
0100000US,,United States,0500000US05015,05015,United States - Arkansas - Carroll County,Carroll County,30940,2447
0100000US,,United States,0500000US05019,05019,United States - Arkansas - Clark County,Clark County,32264,2747
0100000US,,United States,0500000US05023,05023,United States - Arkansas - Cleburne County,Cleburne County,36152,5003
0100000US,,United States,0500000US05027,05027,United States - Arkansas - Columbia County,Columbia County,32582,3387
0100000US,,United States,0500000US05029,05029,United States - Arkansas - Conway County,Conway County,35164,3607
0100000US,,United States,0500000US05031,05031,United States - Arkansas - Craighead County,Craighead County,37907,2262
0100000US,,United States,0500000US05033,05033,United States - Arkansas - Crawford County,Crawford County,36557,3815
0100000US,,United States,0500000US05035,05035,United States - Arkansas - Crittenden County,Crittenden County,32347,2183
0100000US,,United States,0500000US05045,05045,United States - Arkansas - Faulkner County,Faulkner County,43322,2427
0100000US,,United States,0500000US05051,05051,United States - Arkansas - Garland County,Garland County,34451,1397
0100000US,,United States,0500000US05055,05055,United States - Arkansas - Greene County,Greene County,36689,2682
0100000US,,United States,0500000US05057,05057,United States - Arkansas - Hempstead County,Hempstead County,35616,2076
0100000US,,United States,0500000US05059,05059,United States - Arkansas - Hot Spring County,Hot Spring County,35739,3598
0100000US,,United States,0500000US05063,05063,United States - Arkansas - Independence County,Independence County,33845,1458
0100000US,,United States,0500000US05069,05069,United States - Arkansas - Jefferson County,Jefferson County,34330,1581
0100000US,,United States,0500000US05071,05071,United States - Arkansas - Johnson County,Johnson County,29049,4161
0100000US,,United States,0500000US05083,05083,United States - Arkansas - Logan County,Logan County,32147,2603
0100000US,,United States,0500000US05085,05085,United States - Arkansas - Lonoke County,Lonoke County,49215,2925
0100000US,,United States,0500000US05091,05091,United States - Arkansas - Miller County,Miller County,38186,2604
0100000US,,United States,0500000US05093,05093,United States - Arkansas - Mississippi County,Mississippi County,30627,2160
0100000US,,United States,0500000US05103,05103,United States - Arkansas - Ouachita County,Ouachita County,30624,3241
0100000US,,United States,0500000US05107,05107,United States - Arkansas - Phillips County,Phillips County,25099,2359
0100000US,,United States,0500000US05111,05111,United States - Arkansas - Poinsett County,Poinsett County,31898,4164
0100000US,,United States,0500000US05113,05113,United States - Arkansas - Polk County,Polk County,34229,3242
0100000US,,United States,0500000US05115,05115,United States - Arkansas - Pope County,Pope County,37230,2197
0100000US,,United States,0500000US05119,05119,United States - Arkansas - Pulaski County,Pulaski County,44153,942
0100000US,,United States,0500000US05123,05123,United States - Arkansas - St. Francis County,St. Francis County,26357,3644
0100000US,,United States,0500000US05125,05125,United States - Arkansas - Saline County,Saline County,49914,1886
0100000US,,United States,0500000US05131,05131,United States - Arkansas - Sebastian County,Sebastian County,37249,1970
0100000US,,United States,0500000US05139,05139,United States - Arkansas - Union County,Union County,35233,2110
0100000US,,United States,0500000US05143,05143,United States - Arkansas - Washington County,Washington County,42784,1120
0100000US,,United States,0500000US05145,05145,United States - Arkansas - White County,White County,37022,2324
0100000US,,United States,0500000US05149,05149,United States - Arkansas - Yell County,Yell County,34647,3882
0100000US,,United States,0400000US06,06,United States - California,California,58361,163
0100000US,,United States,0500000US06001,06001,United States - California - Alameda County,Alameda County,66430,894
0100000US,,United States,0500000US06005,06005,United States - California - Amador County,Amador County,57522,3338
0100000US,,United States,0500000US06007,06007,United States - California - Butte County,Butte County,40011,1066
0100000US,,United States,0500000US06009,06009,United States - California - Calaveras County,Calaveras County,54356,4538
0100000US,,United States,0500000US06011,06011,United States - California - Colusa County,Colusa County,42398,6495
0100000US,,United States,0500000US06013,06013,United States - California - Contra Costa County,Contra Costa County,75483,1035
0100000US,,United States,0500000US06015,06015,United States - California - Del Norte County,Del Norte County,33173,5400
0100000US,,United States,0500000US06017,06017,United States - California - El Dorado County,El Dorado County,68640,2565
0100000US,,United States,0500000US06019,06019,United States - California - Fresno County,Fresno County,44979,838
0100000US,,United States,0500000US06021,06021,United States - California - Glenn County,Glenn County,39834,4095
0100000US,,United States,0500000US06023,06023,United States - California - Humboldt County,Humboldt County,38987,1581
0100000US,,United States,0500000US06025,06025,United States - California - Imperial County,Imperial County,35933,1464
0100000US,,United States,0500000US06029,06029,United States - California - Kern County,Kern County,44620,910
0100000US,,United States,0500000US06031,06031,United States - California - Kings County,Kings County,45796,1990
0100000US,,United States,0500000US06033,06033,United States - California - Lake County,Lake County,40710,3802
0100000US,,United States,0500000US06035,06035,United States - California - Lassen County,Lassen County,46581,5636
0100000US,,United States,0500000US06037,06037,United States - California - Los Angeles County,Los Angeles County,52628,308
0100000US,,United States,0500000US06039,06039,United States - California - Madera County,Madera County,44534,1956
0100000US,,United States,0500000US06041,06041,United States - California - Marin County,Marin County,83732,2360
0100000US,,United States,0500000US06045,06045,United States - California - Mendocino County,Mendocino County,42663,2030
0100000US,,United States,0500000US06047,06047,United States - California - Merced County,Merced County,44141,1624
0100000US,,United States,0500000US06053,06053,United States - California - Monterey County,Monterey County,58197,1873
0100000US,,United States,0500000US06055,06055,United States - California - Napa County,Napa County,66663,3207
0100000US,,United States,0500000US06057,06057,United States - California - Nevada County,Nevada County,56344,2618
0100000US,,United States,0500000US06059,06059,United States - California - Orange County,Orange County,71601,654
0100000US,,United States,0500000US06061,06061,United States - California - Placer County,Placer County,68463,1987
0100000US,,United States,0500000US06063,06063,United States - California - Plumas County,Plumas County,44281,3203
0100000US,,United States,0500000US06065,06065,United States - California - Riverside County,Riverside County,55881,761
0100000US,,United States,0500000US06067,06067,United States - California - Sacramento County,Sacramento County,55822,838
0100000US,,United States,0500000US06069,06069,United States - California - San Benito County,San Benito County,69740,6238
0100000US,,United States,0500000US06071,06071,United States - California - San Bernardino County,San Bernardino County,54093,657
0100000US,,United States,0500000US06073,06073,United States - California - San Diego County,San Diego County,60970,477
0100000US,,United States,0500000US06075,06075,United States - California - San Francisco County,San Francisco County,65519,1330
0100000US,,United States,0500000US06077,06077,United States - California - San Joaquin County,San Joaquin County,52872,1153
0100000US,,United States,0500000US06079,06079,United States - California - San Luis Obispo County,San Luis Obispo County,53589,1645
0100000US,,United States,0500000US06081,06081,United States - California - San Mateo County,San Mateo County,81573,1351
0100000US,,United States,0500000US06083,06083,United States - California - Santa Barbara County,Santa Barbara County,57059,1320
0100000US,,United States,0500000US06085,06085,United States - California - Santa Clara County,Santa Clara County,83074,876
0100000US,,United States,0500000US06087,06087,United States - California - Santa Cruz County,Santa Cruz County,63333,2419
0100000US,,United States,0500000US06089,06089,United States - California - Shasta County,Shasta County,43988,2096
0100000US,,United States,0500000US06093,06093,United States - California - Siskiyou County,Siskiyou County,35567,2553
0100000US,,United States,0500000US06095,06095,United States - California - Solano County,Solano County,65533,1377
0100000US,,United States,0500000US06097,06097,United States - California - Sonoma County,Sonoma County,62311,1228
0100000US,,United States,0500000US06099,06099,United States - California - Stanislaus County,Stanislaus County,50375,1060
0100000US,,United States,0500000US06101,06101,United States - California - Sutter County,Sutter County,52486,2526
0100000US,,United States,0500000US06103,06103,United States - California - Tehama County,Tehama County,35382,1748
0100000US,,United States,0500000US06107,06107,United States - California - Tulare County,Tulare County,41837,901
0100000US,,United States,0500000US06109,06109,United States - California - Tuolumne County,Tuolumne County,43661,2517
0100000US,,United States,0500000US06111,06111,United States - California - Ventura County,Ventura County,72984,1298
0100000US,,United States,0500000US06113,06113,United States - California - Yolo County,Yolo County,54307,1722
0100000US,,United States,0500000US06115,06115,United States - California - Yuba County,Yuba County,41620,2400
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,54262,319
0100000US,,United States,0500000US08001,08001,United States - Colorado - Adams County,Adams County,52923,1179
0100000US,,United States,0500000US08005,08005,United States - Colorado - Arapahoe County,Arapahoe County,58302,998
0100000US,,United States,0500000US08013,08013,United States - Colorado - Boulder County,Boulder County,63064,1611
0100000US,,United States,0500000US08014,08014,United States - Colorado - Broomfield County,Broomfield County,69419,3650
0100000US,,United States,0500000US08029,08029,United States - Colorado - Delta County,Delta County,37910,2598
0100000US,,United States,0500000US08031,08031,United States - Colorado - Denver County,Denver County,43748,886
0100000US,,United States,0500000US08035,08035,United States - Colorado - Douglas County,Douglas County,93819,1416
0100000US,,United States,0500000US08037,08037,United States - Colorado - Eagle County,Eagle County,67565,4251
0100000US,,United States,0500000US08039,08039,United States - Colorado - Elbert County,Elbert County,71473,2082
0100000US,,United States,0500000US08041,08041,United States - Colorado - El Paso County,El Paso County,54839,1169
0100000US,,United States,0500000US08043,08043,United States - Colorado - Fremont County,Fremont County,35879,1698
0100000US,,United States,0500000US08045,08045,United States - Colorado - Garfield County,Garfield County,63617,4199
