age,9/30/2016
20 <,1677.127942
20-24,46829.69753
25-29,132523.0424
30-34,183110.0289
35-39,214283.0222
40-44,195322.7559
45-49,222988.3799
50-54,244830.7283
55-59,251200.3719
60-64,201658.6786
65-69,126697.3008
70-74,75507.44427
75-79,49340.99943
80-84,39788.59017
85+,65725.47901
